"Histogram","PWDR kk_4"
"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",      5.00
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
5,0,1,0,0,0.355816
5.002,0,1,0,0,0.355958
5.004,0,1,0,0,0.3561
5.006,0,1,0,0,0.356242
5.008,0,1,0,0,0.356385
5.01,0,1,0,0,0.356527
5.012,0,1,0,0,0.356669
5.01401,0,1,0,0,0.356812
5.01601,0,1,0,0,0.356954
5.01801,0,1,0,0,0.357096
5.02001,0,1,0,0,0.357238
5.02201,0,1,0,0,0.357381
5.02401,0,1,0,0,0.357523
5.02601,0,1,0,0,0.357665
5.02801,0,1,0,0,0.357808
5.03001,0,1,0,0,0.35795
5.03201,0,1,0,0,0.358092
5.03401,0,1,0,0,0.358234
5.03601,0,1,0,0,0.358377
5.03802,0,1,0,0,0.358519
5.04002,0,1,0,0,0.358661
5.04202,0,1,0,0,0.358804
5.04402,0,1,0,0,0.358946
5.04602,0,1,0,0,0.359088
5.04802,0,1,0,0,0.359231
5.05002,0,1,0,0,0.359373
5.05202,0,1,0,0,0.359515
5.05402,0,1,0,0,0.359657
5.05602,0,1,0,0,0.3598
5.05802,0,1,0,0,0.359942
5.06002,0,1,0,0,0.360084
5.06202,0,1,0,0,0.360227
5.06403,0,1,0,0,0.360369
5.06603,0,1,0,0,0.360511
5.06803,0,1,0,0,0.360653
5.07003,0,1,0,0,0.360796
5.07203,0,1,0,0,0.360938
5.07403,0,1,0,0,0.36108
5.07603,0,1,0,0,0.361223
5.07803,0,1,0,0,0.361365
5.08003,0,1,0,0,0.361507
5.08203,0,1,0,0,0.361649
5.08403,0,1,0,0,0.361792
5.08603,0,1,0,0,0.361934
5.08804,0,1,0,0,0.362076
5.09004,0,1,0,0,0.362219
5.09204,0,1,0,0,0.362361
5.09404,0,1,0,0,0.362503
5.09604,0,1,0,0,0.362645
5.09804,0,1,0,0,0.362788
5.10004,0,1,0,0,0.36293
5.10204,0,1,0,0,0.363072
5.10404,0,1,0,0,0.363215
5.10604,0,1,0,0,0.363357
5.10804,0,1,0,0,0.363499
5.11004,0,1,0,0,0.363641
5.11204,0,1,0,0,0.363784
5.11405,0,1,0,0,0.363926
5.11605,0,1,0,0,0.364068
5.11805,0,1,0,0,0.364211
5.12005,0,1,0,0,0.364353
5.12205,0,1,0,0,0.364495
5.12405,0,1,0,0,0.364637
5.12605,0,1,0,0,0.36478
5.12805,0,1,0,0,0.364922
5.13005,0,1,0,0,0.365064
5.13205,0,1,0,0,0.365207
5.13405,0,1,0,0,0.365349
5.13605,0,1,0,0,0.365491
5.13806,0,1,0,0,0.365633
5.14006,0,1,0,0,0.365776
5.14206,0,1,0,0,0.365918
5.14406,0,1,0,0,0.36606
5.14606,0,1,0,0,0.366203
5.14806,0,1,0,0,0.366345
5.15006,0,1,0,0,0.366487
5.15206,0,1,0,0,0.366629
5.15406,0,1,0,0,0.366772
5.15606,0,1,0,0,0.366914
5.15806,0,1,0,0,0.367056
5.16006,0,1,0,0,0.367199
5.16206,0,1,0,0,0.367341
5.16407,0,1,0,0,0.367483
5.16607,0,1,0,0,0.367625
5.16807,0,1,0,0,0.367768
5.17007,0,1,0,0,0.36791
5.17207,0,1,0,0,0.368052
5.17407,0,1,0,0,0.368195
5.17607,0,1,0,0,0.368337
5.17807,0,1,0,0,0.368479
5.18007,0,1,0,0,0.368621
5.18207,0,1,0,0,0.368764
5.18407,0,1,0,0,0.368906
5.18607,0,1,0,0,0.369048
5.18808,0,1,0,0,0.369191
5.19008,0,1,0,0,0.369333
5.19208,0,1,0,0,0.369475
5.19408,0,1,0,0,0.369617
5.19608,0,1,0,0,0.36976
5.19808,0,1,0,0,0.369902
5.20008,0,1,0,0,0.370044
5.20208,0,1,0,0,0.370187
5.20408,0,1,0,0,0.370329
5.20608,0,1,0,0,0.370471
5.20808,0,1,0,0,0.370613
5.21008,0,1,0,0,0.370756
5.21208,0,1,0,0,0.370898
5.21409,0,1,0,0,0.37104
5.21609,0,1,0,0,0.371183
5.21809,0,1,0,0,0.371325
5.22009,0,1,0,0,0.371467
5.22209,0,1,0,0,0.371609
5.22409,0,1,0,0,0.371752
5.22609,0,1,0,0,0.371894
5.22809,0,1,0,0,0.372036
5.23009,0,1,0,0,0.372178
5.23209,0,1,0,0,0.372321
5.23409,0,1,0,0,0.372463
5.23609,0,1,0,0,0.372605
5.2381,0,1,0,0,0.372748
5.2401,0,1,0,0,0.37289
5.2421,0,1,0,0,0.373032
5.2441,0,1,0,0,0.373174
5.2461,0,1,0,0,0.373317
5.2481,0,1,0,0,0.373459
5.2501,0,1,0,0,0.373601
5.2521,0,1,0,0,0.373744
5.2541,0,1,0,0,0.373886
5.2561,0,1,0,0,0.374028
5.2581,0,1,0,0,0.37417
5.2601,0,1,0,0,0.374313
5.2621,0,1,0,0,0.374455
5.26411,0,1,0,0,0.374597
5.26611,0,1,0,0,0.374739
5.26811,0,1,0,0,0.374882
5.27011,0,1,0,0,0.375024
5.27211,0,1,0,0,0.375166
5.27411,0,1,0,0,0.375309
5.27611,0,1,0,0,0.375451
5.27811,0,1,0,0,0.375593
5.28011,0,1,0,0,0.375735
5.28211,0,1,0,0,0.375878
5.28411,0,1,0,0,0.37602
5.28611,0,1,0,0,0.376162
5.28812,0,1,0,0,0.376305
5.29012,0,1,0,0,0.376447
5.29212,0,1,0,0,0.376589
5.29412,0,1,0,0,0.376731
5.29612,0,1,0,0,0.376874
5.29812,0,1,0,0,0.377016
5.30012,0,1,0,0,0.377158
5.30212,0,1,0,0,0.3773
5.30412,0,1,0,0,0.377443
5.30612,0,1,0,0,0.377585
5.30812,0,1,0,0,0.377727
5.31012,0,1,0,0,0.37787
5.31212,0,1,0,0,0.378012
5.31413,0,1,0,0,0.378154
5.31613,0,1,0,0,0.378296
5.31813,0,1,0,0,0.378439
5.32013,0,1,0,0,0.378581
5.32213,0,1,0,0,0.378723
5.32413,0,1,0,0,0.378866
5.32613,0,1,0,0,0.379008
5.32813,0,1,0,0,0.37915
5.33013,0,1,0,0,0.379292
5.33213,0,1,0,0,0.379435
5.33413,0,1,0,0,0.379577
5.33613,0,1,0,0,0.379719
5.33814,0,1,0,0,0.379861
5.34014,0,1,0,0,0.380004
5.34214,0,1,0,0,0.380146
5.34414,0,1,0,0,0.380288
5.34614,0,1,0,0,0.380431
5.34814,0,1,0,0,0.380573
5.35014,0,1,0,0,0.380715
5.35214,0,1,0,0,0.380857
5.35414,0,1,0,0,0.381
5.35614,0,1,0,0,0.381142
5.35814,0,1,0,0,0.381284
5.36014,0,1,0,0,0.381426
5.36214,0,1,0,0,0.381569
5.36415,0,1,0,0,0.381711
5.36615,0,1,0,0,0.381853
5.36815,0,1,0,0,0.381996
5.37015,0,1,0,0,0.382138
5.37215,0,1,0,0,0.38228
5.37415,0,1,0,0,0.382422
5.37615,0,1,0,0,0.382565
5.37815,0,1,0,0,0.382707
5.38015,0,1,0,0,0.382849
5.38215,0,1,0,0,0.382991
5.38415,0,1,0,0,0.383134
5.38615,0,1,0,0,0.383276
5.38816,0,1,0,0,0.383418
5.39016,0,1,0,0,0.383561
5.39216,0,1,0,0,0.383703
5.39416,0,1,0,0,0.383845
5.39616,0,1,0,0,0.383987
5.39816,0,1,0,0,0.38413
5.40016,0,1,0,0,0.384272
5.40216,0,1,0,0,0.384414
5.40416,0,1,0,0,0.384556
5.40616,0,1,0,0,0.384699
5.40816,0,1,0,0,0.384841
5.41016,0,1,0,0,0.384983
5.41216,0,1,0,0,0.385125
5.41417,0,1,0,0,0.385268
5.41617,0,1,0,0,0.38541
5.41817,0,1,0,0,0.385552
5.42017,0,1,0,0,0.385695
5.42217,0,1,0,0,0.385837
5.42417,0,1,0,0,0.385979
5.42617,0,1,0,0,0.386121
5.42817,0,1,0,0,0.386264
5.43017,0,1,0,0,0.386406
5.43217,0,1,0,0,0.386548
5.43417,0,1,0,0,0.38669
5.43617,0,1,0,0,0.386833
5.43818,0,1,0,0,0.386975
5.44018,0,1,0,0,0.387117
5.44218,0,1,0,0,0.38726
5.44418,0,1,0,0,0.387402
5.44618,0,1,0,0,0.387544
5.44818,0,1,0,0,0.387686
5.45018,0,1,0,0,0.387829
5.45218,0,1,0,0,0.387971
5.45418,0,1,0,0,0.388113
5.45618,0,1,0,0,0.388255
5.45818,0,1,0,0,0.388398
5.46018,0,1,0,0,0.38854
5.46218,0,1,0,0,0.388682
5.46419,0,1,0,0,0.388824
5.46619,0,1,0,0,0.388967
5.46819,0,1,0,0,0.389109
5.47019,0,1,0,0,0.389251
5.47219,0,1,0,0,0.389394
5.47419,0,1,0,0,0.389536
5.47619,0,1,0,0,0.389678
5.47819,0,1,0,0,0.38982
5.48019,0,1,0,0,0.389963
5.48219,0,1,0,0,0.390105
5.48419,0,1,0,0,0.390247
5.48619,0,1,0,0,0.390389
5.4882,0,1,0,0,0.390532
5.4902,0,1,0,0,0.390674
5.4922,0,1,0,0,0.390816
5.4942,0,1,0,0,0.390958
5.4962,0,1,0,0,0.391101
5.4982,0,1,0,0,0.391243
5.5002,0,1,0,0,0.391385
5.5022,0,1,0,0,0.391527
5.5042,0,1,0,0,0.39167
5.5062,0,1,0,0,0.391812
5.5082,0,1,0,0,0.391954
5.5102,0,1,0,0,0.392097
5.5122,0,1,0,0,0.392239
5.51421,0,1,0,0,0.392381
5.51621,0,1,0,0,0.392523
5.51821,0,1,0,0,0.392666
5.52021,0,1,0,0,0.392808
5.52221,0,1,0,0,0.39295
5.52421,0,1,0,0,0.393092
5.52621,0,1,0,0,0.393235
5.52821,0,1,0,0,0.393377
5.53021,0,1,0,0,0.393519
5.53221,0,1,0,0,0.393661
5.53421,0,1,0,0,0.393804
5.53621,0,1,0,0,0.393946
5.53822,0,1,0,0,0.394088
5.54022,0,1,0,0,0.39423
5.54222,0,1,0,0,0.394373
5.54422,0,1,0,0,0.394515
5.54622,0,1,0,0,0.394657
5.54822,0,1,0,0,0.3948
5.55022,0,1,0,0,0.394942
5.55222,0,1,0,0,0.395084
5.55422,0,1,0,0,0.395226
5.55622,0,1,0,0,0.395369
5.55822,0,1,0,0,0.395511
5.56022,0,1,0,0,0.395653
5.56222,0,1,0,0,0.395795
5.56423,0,1,0,0,0.395938
5.56623,0,1,0,0,0.39608
5.56823,0,1,0,0,0.396222
5.57023,0,1,0,0,0.396364
5.57223,0,1,0,0,0.396507
5.57423,0,1,0,0,0.396649
5.57623,0,1,0,0,0.396791
5.57823,0,1,0,0,0.396933
5.58023,0,1,0,0,0.397076
5.58223,0,1,0,0,0.397218
5.58423,0,1,0,0,0.39736
5.58623,0,1,0,0,0.397502
5.58824,0,1,0,0,0.397645
5.59024,0,1,0,0,0.397787
5.59224,0,1,0,0,0.397929
5.59424,0,1,0,0,0.398072
5.59624,0,1,0,0,0.398214
5.59824,0,1,0,0,0.398356
5.60024,0,1,0,0,0.398498
5.60224,0,1,0,0,0.398641
5.60424,0,1,0,0,0.398783
5.60624,0,1,0,0,0.398925
5.60824,0,1,0,0,0.399067
5.61024,0,1,0,0,0.39921
5.61224,0,1,0,0,0.399352
5.61425,0,1,0,0,0.399494
5.61625,0,1,0,0,0.399636
5.61825,0,1,0,0,0.399779
5.62025,0,1,0,0,0.399921
5.62225,0,1,0,0,0.400063
5.62425,0,1,0,0,0.400205
5.62625,0,1,0,0,0.400348
5.62825,0,1,0,0,0.40049
5.63025,0,1,0,0,0.400632
5.63225,0,1,0,0,0.400774
5.63425,0,1,0,0,0.400917
5.63625,0,1,0,0,0.401059
5.63826,0,1,0,0,0.401201
5.64026,0,1,0,0,0.401343
5.64226,0,1,0,0,0.401486
5.64426,0,1,0,0,0.401628
5.64626,0,1,0,0,0.40177
5.64826,0,1,0,0,0.401912
5.65026,0,1,0,0,0.402055
5.65226,0,1,0,0,0.402197
5.65426,0,1,0,0,0.402339
5.65626,0,1,0,0,0.402481
5.65826,0,1,0,0,0.402624
5.66026,0,1,0,0,0.402766
5.66226,0,1,0,0,0.402908
5.66427,0,1,0,0,0.40305
5.66627,0,1,0,0,0.403193
5.66827,0,1,0,0,0.403335
5.67027,0,1,0,0,0.403477
5.67227,0,1,0,0,0.40362
5.67427,0,1,0,0,0.403762
5.67627,0,1,0,0,0.403904
5.67827,0,1,0,0,0.404046
5.68027,0,1,0,0,0.404189
5.68227,0,1,0,0,0.404331
5.68427,0,1,0,0,0.404473
5.68627,0,1,0,0,0.404615
5.68828,0,1,0,0,0.404758
5.69028,0,1,0,0,0.4049
5.69228,0,1,0,0,0.405042
5.69428,0,1,0,0,0.405184
5.69628,0,1,0,0,0.405327
5.69828,0,1,0,0,0.405469
5.70028,0,1,0,0,0.405611
5.70228,0,1,0,0,0.405753
5.70428,0,1,0,0,0.405896
5.70628,0,1,0,0,0.406038
5.70828,0,1,0,0,0.40618
5.71028,0,1,0,0,0.406322
5.71228,0,1,0,0,0.406465
5.71429,0,1,0,0,0.406607
5.71629,0,1,0,0,0.406749
5.71829,0,1,0,0,0.406891
5.72029,0,1,0,0,0.407034
5.72229,0,1,0,0,0.407176
5.72429,0,1,0,0,0.407318
5.72629,0,1,0,0,0.40746
5.72829,0,1,0,0,0.407603
5.73029,0,1,0,0,0.407745
5.73229,0,1,0,0,0.407887
5.73429,0,1,0,0,0.408029
5.73629,0,1,0,0,0.408172
5.7383,0,1,0,0,0.408314
5.7403,0,1,0,0,0.408456
5.7423,0,1,0,0,0.408598
5.7443,0,1,0,0,0.408741
5.7463,0,1,0,0,0.408883
5.7483,0,1,0,0,0.409025
5.7503,0,1,0,0,0.409167
5.7523,0,1,0,0,0.40931
5.7543,0,1,0,0,0.409452
5.7563,0,1,0,0,0.409594
5.7583,0,1,0,0,0.409736
5.7603,0,1,0,0,0.409879
5.7623,0,1,0,0,0.410021
5.76431,0,1,0,0,0.410163
5.76631,0,1,0,0,0.410305
5.76831,0,1,0,0,0.410448
5.77031,0,1,0,0,0.41059
5.77231,0,1,0,0,0.410732
5.77431,0,1,0,0,0.410874
5.77631,0,1,0,0,0.411017
5.77831,0,1,0,0,0.411159
5.78031,0,1,0,0,0.411301
5.78231,0,1,0,0,0.411443
5.78431,0,1,0,0,0.411586
5.78631,0,1,0,0,0.411728
5.78832,0,1,0,0,0.41187
5.79032,0,1,0,0,0.412012
5.79232,0,1,0,0,0.412155
5.79432,0,1,0,0,0.412297
5.79632,0,1,0,0,0.412439
5.79832,0,1,0,0,0.412581
5.80032,0,1,0,0,0.412724
5.80232,0,1,0,0,0.412866
5.80432,0,1,0,0,0.413008
5.80632,0,1,0,0,0.41315
5.80832,0,1,0,0,0.413292
5.81032,0,1,0,0,0.413435
5.81232,0,1,0,0,0.413577
5.81433,0,1,0,0,0.413719
5.81633,0,1,0,0,0.413861
5.81833,0,1,0,0,0.414004
5.82033,0,1,0,0,0.414146
5.82233,0,1,0,0,0.414288
5.82433,0,1,0,0,0.41443
5.82633,0,1,0,0,0.414573
5.82833,0,1,0,0,0.414715
5.83033,0,1,0,0,0.414857
5.83233,0,1,0,0,0.414999
5.83433,0,1,0,0,0.415142
5.83633,0,1,0,0,0.415284
5.83834,0,1,0,0,0.415426
5.84034,0,1,0,0,0.415568
5.84234,0,1,0,0,0.415711
5.84434,0,1,0,0,0.415853
5.84634,0,1,0,0,0.415995
5.84834,0,1,0,0,0.416137
5.85034,0,1,0,0,0.41628
5.85234,0,1,0,0,0.416422
5.85434,0,1,0,0,0.416564
5.85634,0,1,0,0,0.416706
5.85834,0,1,0,0,0.416849
5.86034,0,1,0,0,0.416991
5.86234,0,1,0,0,0.417133
5.86435,0,1,0,0,0.417275
5.86635,0,1,0,0,0.417418
5.86835,0,1,0,0,0.41756
5.87035,0,1,0,0,0.417702
5.87235,0,1,0,0,0.417844
5.87435,0,1,0,0,0.417987
5.87635,0,1,0,0,0.418129
5.87835,0,1,0,0,0.418271
5.88035,0,1,0,0,0.418413
5.88235,0,1,0,0,0.418555
5.88435,0,1,0,0,0.418698
5.88635,0,1,0,0,0.41884
5.88836,0,1,0,0,0.418982
5.89036,0,1,0,0,0.419124
5.89236,0,1,0,0,0.419267
5.89436,0,1,0,0,0.419409
5.89636,0,1,0,0,0.419551
5.89836,0,1,0,0,0.419693
5.90036,0,1,0,0,0.419836
5.90236,0,1,0,0,0.419978
5.90436,0,1,0,0,0.42012
5.90636,0,1,0,0,0.420262
5.90836,0,1,0,0,0.420405
5.91036,0,1,0,0,0.420547
5.91236,0,1,0,0,0.420689
5.91437,0,1,0,0,0.420831
5.91637,0,1,0,0,0.420974
5.91837,0,1,0,0,0.421116
5.92037,0,1,0,0,0.421258
5.92237,0,1,0,0,0.4214
5.92437,0,1,0,0,0.421543
5.92637,0,1,0,0,0.421685
5.92837,0,1,0,0,0.421827
5.93037,0,1,0,0,0.421969
5.93237,0,1,0,0,0.422111
5.93437,0,1,0,0,0.422254
5.93637,0,1,0,0,0.422396
5.93838,0,1,0,0,0.422538
5.94038,0,1,0,0,0.42268
5.94238,0,1,0,0,0.422823
5.94438,0,1,0,0,0.422965
5.94638,0,1,0,0,0.423107
5.94838,0,1,0,0,0.423249
5.95038,0,1,0,0,0.423392
5.95238,0,1,0,0,0.423534
5.95438,0,1,0,0,0.423676
5.95638,0,1,0,0,0.423818
5.95838,0,1,0,0,0.423961
5.96038,0,1,0,0,0.424103
5.96238,0,1,0,0,0.424245
5.96439,0,1,0,0,0.424387
5.96639,0,1,0,0,0.424529
5.96839,0,1,0,0,0.424672
5.97039,0,1,0,0,0.424814
5.97239,0,1,0,0,0.424956
5.97439,0,1,0,0,0.425098
5.97639,0,1,0,0,0.425241
5.97839,0,1,0,0,0.425383
5.98039,0,1,0,0,0.425525
5.98239,0,1,0,0,0.425667
5.98439,0,1,0,0,0.42581
5.98639,0,1,0,0,0.425952
5.9884,0,1,0,0,0.426094
5.9904,0,1,0,0,0.426236
5.9924,0,1,0,0,0.426379
5.9944,0,1,0,0,0.426521
5.9964,0,1,0,0,0.426663
5.9984,0,1,0,0,0.426805
6.0004,0,1,0,0,0.426947
6.0024,0,1,0,0,0.42709
6.0044,0,1,0,0,0.427232
6.0064,0,1,0,0,0.427374
6.0084,0,1,0,0,0.427516
6.0104,0,1,0,0,0.427659
6.0124,0,1,0,0,0.427801
6.01441,0,1,0,0,0.427943
6.01641,0,1,0,0,0.428085
6.01841,0,1,0,0,0.428228
6.02041,0,1,0,0,0.42837
6.02241,0,1,0,0,0.428512
6.02441,0,1,0,0,0.428654
6.02641,0,1,0,0,0.428796
6.02841,0,1,0,0,0.428939
6.03041,0,1,0,0,0.429081
6.03241,0,1,0,0,0.429223
6.03441,0,1,0,0,0.429365
6.03641,0,1,0,0,0.429508
6.03842,0,1,0,0,0.42965
6.04042,0,1,0,0,0.429792
6.04242,0,1,0,0,0.429934
6.04442,0,1,0,0,0.430077
6.04642,0,1,0,0,0.430219
6.04842,0,1,0,0,0.430361
6.05042,0,1,0,0,0.430503
6.05242,0,1,0,0,0.430645
6.05442,0,1,0,0,0.430788
6.05642,0,1,0,0,0.43093
6.05842,0,1,0,0,0.431072
6.06042,0,1,0,0,0.431214
6.06242,0,1,0,0,0.431357
6.06443,0,1,0,0,0.431499
6.06643,0,1,0,0,0.431641
6.06843,0,1,0,0,0.431783
6.07043,0,1,0,0,0.431926
6.07243,0,1,0,0,0.432068
6.07443,0,1,0,0,0.43221
6.07643,0,1,0,0,0.432352
6.07843,0,1,0,0,0.432494
6.08043,0,1,0,0,0.432637
6.08243,0,1,0,0,0.432779
6.08443,0,1,0,0,0.432921
6.08643,0,1,0,0,0.433063
6.08844,0,1,0,0,0.433206
6.09044,0,1,0,0,0.433348
6.09244,0,1,0,0,0.43349
6.09444,0,1,0,0,0.433632
6.09644,0,1,0,0,0.433775
6.09844,0,1,0,0,0.433917
6.10044,0,1,0,0,0.434059
6.10244,0,1,0,0,0.434201
6.10444,0,1,0,0,0.434343
6.10644,0,1,0,0,0.434486
6.10844,0,1,0,0,0.434628
6.11044,0,1,0,0,0.43477
6.11244,0,1,0,0,0.434912
6.11445,0,1,0,0,0.435055
6.11645,0,1,0,0,0.435197
6.11845,0,1,0,0,0.435339
6.12045,0,1,0,0,0.435481
6.12245,0,1,0,0,0.435623
6.12445,0,1,0,0,0.435766
6.12645,0,1,0,0,0.435908
6.12845,0,1,0,0,0.43605
6.13045,0,1,0,0,0.436192
6.13245,0,1,0,0,0.436335
6.13445,0,1,0,0,0.436477
6.13645,0,1,0,0,0.436619
6.13846,0,1,0,0,0.436761
6.14046,0,1,0,0,0.436903
6.14246,0,1,0,0,0.437046
6.14446,0,1,0,0,0.437188
6.14646,0,1,0,0,0.43733
6.14846,0,1,0,0,0.437472
6.15046,0,1,0,0,0.437615
6.15246,0,1,0,0,0.437757
6.15446,0,1,0,0,0.437899
6.15646,0,1,0,0,0.438041
6.15846,0,1,0,0,0.438183
6.16046,0,1,0,0,0.438326
6.16246,0,1,0,0,0.438468
6.16447,0,1,0,0,0.43861
6.16647,0,1,0,0,0.438752
6.16847,0,1,0,0,0.438895
6.17047,0,1,0,0,0.439037
6.17247,0,1,0,0,0.439179
6.17447,0,1,0,0,0.439321
6.17647,0,1,0,0,0.439463
6.17847,0,1,0,0,0.439606
6.18047,0,1,0,0,0.439748
6.18247,0,1,0,0,0.43989
6.18447,0,1,0,0,0.440032
6.18647,0,1,0,0,0.440175
